Models,Precision,Recall,F1_score,quarter,median_token_count
ds_r1_comprehensive,0.7674418604651163,0.7252747252747253,0.7457627118644067,Q4,10252.0
human,0.7076923076923077,0.5054945054945055,0.5897435897435896,Q4,10252.0
ds_r1_comprehensive,0.6724137931034483,0.7090909090909091,0.6902654867256638,Q3,6511.5
human,0.5116279069767442,0.4,0.44897959183673475,Q3,6511.5
ds_r1_comprehensive,0.6346153846153846,0.6470588235294118,0.6407766990291263,Q2,5439.5
human,0.6190476190476191,0.5098039215686274,0.5591397849462365,Q2,5439.5
ds_r1_comprehensive,0.6808510638297872,0.8205128205128205,0.7441860465116279,Q1,4626.0
human,0.7368421052631579,0.717948717948718,0.7272727272727273,Q1,4626.0
