Models,Precision,Recall,F1_score
claude3_7_comprehensive,0.3676092544987147,0.6059322033898306,0.4576
claude3_7_comprehensive_modified,0.40412979351032446,0.5805084745762712,0.4765217391304348
claude3_7_comprehensive_nothink,0.2420494699646643,0.5805084745762712,0.3416458852867831
claude3_7_reasoning_comprehensive,0.43258426966292135,0.652542372881356,0.5202702702702703
claude3_7_reasoning_comprehensive_modified,0.5296052631578947,0.6822033898305084,0.5962962962962962
claude3_7_reasoning_comprehensive_nothink,0.35176991150442477,0.673728813559322,0.4622093023255814
deepseek_v3_targeted,0.11996962794229309,0.6694915254237288,0.2034771410173857
ds_r1_comprehensive,0.6995884773662552,0.7203389830508474,0.7098121085594989
ds_r1_comprehensive_modified,0.6919831223628692,0.6949152542372882,0.6934460887949261
ds_r1_comprehensive_nothink,0.656934306569343,0.7627118644067796,0.7058823529411764
ds_r1_targeted,0.7357723577235772,0.7669491525423728,0.7510373443983402
ds_v3_comprehensive,0.23308270676691728,0.5254237288135594,0.32291666666666663
ds_v3_comprehensive_modified,0.40974212034383956,0.6059322033898306,0.48888888888888893
ds_v3_comprehensive_nothink,0.0974143114852676,0.6864406779661016,0.17061611374407584
gemini_2_5_flash_comprehensive,0.6580882352941176,0.7584745762711864,0.7047244094488188
gemini_2_5_flash_comprehensive_modified,0.7103174603174603,0.7584745762711864,0.7336065573770492
gemini_2_5_flash_comprehensive_nothink,0.5888157894736842,0.7584745762711864,0.662962962962963
gemini_2_5_pro_comprehensive,0.54858934169279,0.7415254237288136,0.6306306306306306
gemini_2_5_pro_comprehensive_modified,0.5669781931464174,0.7711864406779662,0.6535008976660682
gemini_2_5_pro_comprehensive_nothink,0.5775075987841946,0.8050847457627118,0.672566371681416
gemma327B_comprehensive,0.16211878009630817,0.4279661016949153,0.23515715948777646
gemma327B_targeted_after,0.13657623947614594,0.6186440677966102,0.22375478927203069
gpt4_1_comprehensive,0.62890625,0.6822033898305084,0.6544715447154471
gpt4_1_comprehensive_modified,0.6598360655737705,0.6822033898305084,0.6708333333333334
gpt4_1_comprehensive_nothink,0.468944099378882,0.6398305084745762,0.5412186379928315
grok3_comprehensive,0.4854368932038835,0.635593220338983,0.5504587155963304
grok3_comprehensive_modified,0.5755395683453237,0.6779661016949152,0.622568093385214
grok3_comprehensive_nothink,0.35267857142857145,0.6694915254237288,0.4619883040935673
grok3_mini_comprehensive,0.51985559566787,0.6101694915254238,0.5614035087719298
grok3_mini_comprehensive_modified,0.528169014084507,0.635593220338983,0.5769230769230769
grok3_mini_comprehensive_nothink,0.4519774011299435,0.6779661016949152,0.5423728813559322
human,0.648936170212766,0.5169491525423728,0.5754716981132074
mistral24B_comprehensive,0.24299065420560748,0.5508474576271186,0.3372243839169909
mistral24B_targeted_after,0.3177570093457944,0.4322033898305085,0.36624775583482944
o1_comprehensive,0.7789473684210526,0.6271186440677966,0.6948356807511737
o1_comprehensive_modified,0.7849462365591398,0.6186440677966102,0.6919431279620853
o1_comprehensive_modified_adjust,0.7849462365591398,0.6186440677966102,0.6919431279620853
o1_comprehensive_nothink,0.7738693467336684,0.652542372881356,0.7080459770114943
qwen3_14B_comprehensive_1,0.3992673992673993,0.461864406779661,0.42829076620825146
qwen3_14B_comprehensive_2,0.3968253968253968,0.423728813559322,0.4098360655737705
qwen3_14B_comprehensive_3,0.4008097165991903,0.4194915254237288,0.40993788819875776
