Models,Precision,Recall,F1_score
qwen3_32B_targeted_1,0.7266025641025641,0.8102564102564103,0.7444350521273597
qwen3_32B_targeted_2,0.7380341880341881,0.7846153846153846,0.7367216117216118
qwen3_32B_targeted_3,0.7044871794871794,0.8166666666666667,0.732026627218935
qwen3_32B_targeted_4,0.6860576923076922,0.7647435897435897,0.701549732318963
qwen3_32B_targeted_5,0.7182692307692308,0.8150641025641026,0.7445266272189349
qwen3_32B_targeted_sft_1,0.8144230769230769,0.7945512820512821,0.786019536019536
qwen3_32B_targeted_sft_2,0.8189102564102565,0.8144230769230769,0.8021520146520147
qwen3_32B_targeted_sft_3,0.780448717948718,0.7833333333333333,0.7716117216117216
qwen3_32B_targeted_sft_4,0.8205128205128205,0.7894230769230769,0.7955280830280831
qwen3_32B_targeted_sft_5,0.7644230769230769,0.7471153846153846,0.7399725274725275
qwen3_4B_comprehensive_1,0.11730769230769231,0.17532051282051284,0.1332112332112332
qwen3_4B_comprehensive_2,0.1581959706959707,0.19935897435897437,0.16734099234099234
qwen3_4B_comprehensive_3,0.14807692307692308,0.2246794871794872,0.17261904761904762
qwen3_4B_comprehensive_4,0.14645979020979022,0.21346153846153845,0.16084225603456373
qwen3_4B_comprehensive_5,0.15215201465201467,0.1814102564102564,0.15082417582417584
qwen3_4B_targeted_1,0.5918956043956044,0.6878205128205128,0.6124542124542125
qwen3_4B_targeted_2,0.6496108058608059,0.691025641025641,0.653447834217065
qwen3_4B_targeted_3,0.621978021978022,0.7012820512820513,0.6458083583083584
qwen3_4B_targeted_4,0.6458333333333334,0.7102564102564102,0.6555611055611055
qwen3_4B_targeted_5,0.5978479853479853,0.6596153846153846,0.6158844360767438
qwen3_4B_targeted_sft_1,0.7644230769230769,0.7,0.7184981684981685
qwen3_4B_targeted_sft_2,0.7092948717948718,0.6871794871794872,0.6875152625152625
qwen3_4B_targeted_sft_3,0.8157051282051282,0.7496794871794872,0.7695970695970696
qwen3_4B_targeted_sft_4,0.7711538461538462,0.7471153846153846,0.7492673992673993
qwen3_4B_targeted_sft_5,0.7580128205128205,0.7096153846153845,0.7177655677655678
