Models,Precision,Recall,F1_score
claude3_7_comprehensive,0.3421232876712329,0.52059686888454,0.395261815809761
claude3_7_comprehensive_modified,0.3930365296803653,0.5118558382257012,0.42590434679475775
claude3_7_comprehensive_nothink,0.2227250489236791,0.4983365949119373,0.29495892235618265
claude3_7_reasoning_comprehensive,0.3949771689497717,0.5467384213959556,0.4389708465050931
claude3_7_reasoning_comprehensive_modified,0.4897260273972603,0.5995923026744944,0.5232461602324616
claude3_7_reasoning_comprehensive_nothink,0.33958469232441835,0.5710534898891063,0.4068823490056367
deepseek_v3_targeted,0.11492551560196498,0.5521037181996087,0.18063514784643755
ds_r1_comprehensive,0.6941780821917808,0.7177266797129811,0.6866537191879658
ds_r1_comprehensive_modified,0.6678082191780822,0.6736138290932812,0.6539013117780241
ds_r1_comprehensive_nothink,0.66324200913242,0.7421069797782126,0.6819835035588461
ds_r1_targeted,0.7613339856490541,0.7752772341813438,0.754778212654925
ds_v3_comprehensive,0.22573385518590997,0.4737116764514025,0.2918524778113819
ds_v3_comprehensive_modified,0.4073222439660796,0.5494618395303327,0.44540326492381294
ds_v3_comprehensive_nothink,0.1457073177963589,0.5815394651011089,0.21184953565835044
gemini_2_5_flash_comprehensive,0.6411448140900196,0.7076973255055448,0.6570850382494219
gemini_2_5_flash_comprehensive_modified,0.7182648401826484,0.7453033268101762,0.7147243167791113
gemini_2_5_flash_comprehensive_nothink,0.5970808871493803,0.7140900195694716,0.6305797703057977
gemini_2_5_pro_comprehensive,0.5450424005218526,0.673450750163079,0.582470991717567
gemini_2_5_pro_comprehensive_modified,0.567938682322244,0.7137475538160469,0.6109821305026785
gemini_2_5_pro_comprehensive_nothink,0.6152723418134377,0.7604370515329419,0.657761340638053
gemma327B_comprehensive,0.15633561643835617,0.37090671885192433,0.2071102413568167
gemma327B_targeted_after,0.11745856882843184,0.49952707110241357,0.18427212157385192
gpt4_1_comprehensive,0.6352739726027398,0.6707599478147424,0.6375608029717619
gpt4_1_comprehensive_modified,0.6579745596868884,0.664481409001957,0.647417916938465
gpt4_1_comprehensive_nothink,0.4420417482061318,0.5710371819960861,0.4799323963707526
grok3_comprehensive,0.45169602087410304,0.5704174820613177,0.48551859099804306
grok3_comprehensive_modified,0.5721298108284409,0.6425636007827789,0.5865321512581786
grok3_comprehensive_nothink,0.3104696673189824,0.562720156555773,0.38520033999486053
grok3_mini_comprehensive,0.5281963470319634,0.5799412915851272,0.5316699282452707
grok3_mini_comprehensive_modified,0.542204827136334,0.6259458577951729,0.5576722364393597
grok3_mini_comprehensive_nothink,0.4796966731898239,0.6241356816699283,0.5219568483267114
human,0.6390410958904109,0.5717221135029354,0.5893020221787345
mistral24B_comprehensive,0.2731142145525707,0.5476679712981083,0.342333863938986
mistral24B_targeted_after,0.31966460100021743,0.40699608610567517,0.34261400699756867
o1_comprehensive,0.7465753424657534,0.660078277886497,0.687257111229714
o1_comprehensive_modified,0.7631278538812786,0.6781148075668624,0.7017034335527486
o1_comprehensive_modified_adjust,0.7631278538812786,0.6781148075668624,0.7017034335527486
o1_comprehensive_nothink,0.7574200913242009,0.6883887801696021,0.7067396074245389
qwen3_14B_comprehensive_1,0.37196129593389865,0.43245270711024136,0.3810947043823756
qwen3_14B_comprehensive_2,0.3462328767123288,0.3943737769080235,0.3486113582003993
qwen3_14B_comprehensive_3,0.34143835616438356,0.36966731898238747,0.33703670758465276
qwen3_14B_comprehensive_4,0.3864155251141552,0.44574363992172206,0.39355442882840147
qwen3_14B_comprehensive_5,0.37624755381604696,0.403750815394651,0.37306479669493364
qwen3_14B_targeted_1,0.6253424657534247,0.6583659491193737,0.6247282017829963
qwen3_14B_targeted_2,0.5981409001956947,0.6490704500978474,0.6034605044879018
qwen3_14B_targeted_3,0.6102087410306589,0.6648891063274626,0.6157608373361797
qwen3_14B_targeted_4,0.5638617090671886,0.5981082844096544,0.5642718772855759
qwen3_14B_targeted_5,0.5918949771689498,0.6167808219178083,0.5873831267666884
qwen3_14B_targeted_sft_1,0.9029680365296804,0.8752772341813437,0.8769326563847112
qwen3_14B_targeted_sft_2,0.9076484018264841,0.8924657534246576,0.8927321156773212
qwen3_14B_targeted_sft_3,0.8873287671232878,0.855365296803653,0.8611545988258317
qwen3_14B_targeted_sft_4,0.9135192433137638,0.8829256360078277,0.8862089584692324
