Models,Precision,Recall,F1_score
qwen3_4B_comprehensive_2,0.2857142857142857,0.24324324324324326,0.2627737226277372
qwen3_4B_comprehensive_3,0.32432432432432434,0.32432432432432434,0.32432432432432434
qwen3_4B_comprehensive_4,0.2558139534883721,0.2972972972972973,0.275
qwen3_4B_comprehensive_5,0.25,0.2702702702702703,0.25974025974025977
qwen3_4B_targeted_1,0.5157894736842106,0.6621621621621622,0.5798816568047338
qwen3_4B_targeted_2,0.5568181818181818,0.6621621621621622,0.6049382716049383
qwen3_4B_targeted_3,0.5531914893617021,0.7027027027027027,0.6190476190476191
qwen3_4B_targeted_4,0.5747126436781609,0.6756756756756757,0.6211180124223602
qwen3_4B_targeted_5,0.5494505494505495,0.6756756756756757,0.6060606060606061
qwen3_4B_targeted_sft_1,0.7575757575757576,0.6756756756756757,0.7142857142857142
qwen3_4B_targeted_sft_2,0.7142857142857143,0.6756756756756757,0.6944444444444444
qwen3_4B_targeted_sft_3,0.8059701492537313,0.7297297297297297,0.7659574468085106
qwen3_4B_targeted_sft_4,0.7428571428571429,0.7027027027027027,0.7222222222222223
qwen3_4B_targeted_sft_5,0.7313432835820896,0.6621621621621622,0.6950354609929078
qwen3_8B_comprehensive_1,0.4819277108433735,0.5405405405405406,0.5095541401273885
qwen3_8B_comprehensive_2,0.5324675324675324,0.5540540540540541,0.543046357615894
qwen3_8B_comprehensive_3,0.43373493975903615,0.4864864864864865,0.45859872611464975
qwen3_8B_comprehensive_4,0.5308641975308642,0.581081081081081,0.5548387096774193
qwen3_8B_comprehensive_5,0.5121951219512195,0.5675675675675675,0.5384615384615384
qwen3_8B_targeted_1,0.6506024096385542,0.7297297297297297,0.6878980891719745
qwen3_8B_targeted_2,0.6477272727272727,0.7702702702702703,0.7037037037037036
qwen3_8B_targeted_3,0.651685393258427,0.7837837837837838,0.7116564417177914
qwen3_8B_targeted_4,0.651685393258427,0.7837837837837838,0.7116564417177914
qwen3_8B_targeted_5,0.654320987654321,0.7162162162162162,0.6838709677419356
qwen3_8B_targeted_sft_1,0.6973684210526315,0.7162162162162162,0.7066666666666668
qwen3_8B_targeted_sft_2,0.7692307692307693,0.8108108108108109,0.7894736842105263
qwen3_8B_targeted_sft_3,0.7162162162162162,0.7162162162162162,0.7162162162162162
qwen3_8B_targeted_sft_4,0.7564102564102564,0.7972972972972973,0.7763157894736842
qwen3_8B_targeted_sft_5,0.7464788732394366,0.7162162162162162,0.7310344827586208
qwq32B_comprehensive_modified_1,0.8378378378378378,0.8378378378378378,0.8378378378378378
qwq32B_comprehensive_modified_2,0.7763157894736842,0.7972972972972973,0.7866666666666666
qwq32B_comprehensive_modified_3,0.8266666666666667,0.8378378378378378,0.8322147651006713
qwq32B_comprehensive_modified_4,0.7407407407407407,0.8108108108108109,0.7741935483870969
qwq32B_comprehensive_modified_5,0.7808219178082192,0.7702702702702703,0.7755102040816327
qwq32B_comprehensive_modified_sft_1,0.828125,0.7162162162162162,0.7681159420289855
qwq32B_comprehensive_modified_sft_2,0.8235294117647058,0.7567567567567568,0.7887323943661971
qwq32B_comprehensive_modified_sft_3,0.8387096774193549,0.7027027027027027,0.7647058823529411
qwq32B_comprehensive_modified_sft_4,0.8225806451612904,0.6891891891891891,0.75
qwq32B_comprehensive_modified_sft_5,0.8125,0.7027027027027027,0.7536231884057971
